"","","","1993","2000","2010","2020"
"","","","Value","Value","Value","Value"
"Slovakia","Use per area of cropland","Pesticides (total)","2.41","0.93","1.33","1.33"
"Slovenia","Use per area of cropland","Pesticides (total)","4.73","7.2","4.8","4.06"
"Solomon Islands","Use per area of cropland","Pesticides (total)","0.88","0.35","0.54","0.35"
"Somalia","Use per area of cropland","Pesticides (total)","0.02","0.02","0.11","0.64"
"South Africa","Use per area of cropland","Pesticides (total)","1.21","1.89","2.59","3.35"
"Spain","Use per area of cropland","Pesticides (total)","1.5","1.89","2.27","4.03"
"Sri Lanka","Use per area of cropland","Pesticides (total)","0.93","0.89","0.67","1.08"
"Sudan","Use per area of cropland","Pesticides (total)","","","","0.19"
"Sudan (former)","Use per area of cropland","Pesticides (total)","0.03","0.02","0.14",""
"Suriname","Use per area of cropland","Pesticides (total)","2.76","2.63","7.83","5.81"
"Sweden","Use per area of cropland","Pesticides (total)","0.53","0.66","0.76","0.65"
"Switzerland","Use per area of cropland","Pesticides (total)","4.47","3.65","5.02","4.54"
"Syrian Arab Republic","Use per area of cropland","Pesticides (total)","0.28","0.21","0.28","0.33"
"Tajikistan","Use per area of cropland","Pesticides (total)","0.13","0.15","0.14","0.42"
"Thailand","Use per area of cropland","Pesticides (total)","0.92","0.96","3.13","0.85"
"Timor-Leste","Use per area of cropland","Pesticides (total)","0.02","0.02","0.1","0.32"
"Togo","Use per area of cropland","Pesticides (total)","0.09","0.13","0.09","0.51"
"Tonga","Use per area of cropland","Pesticides (total)","0.4","0.43","0.4","0.71"
"Trinidad and Tobago","Use per area of cropland","Pesticides (total)","4.19","3.53","2.67","24.96"
"Tunisia","Use per area of cropland","Pesticides (total)","0.18","0.28","0.42","0.69"
"Turkmenistan","Use per area of cropland","Pesticides (total)","0.31","0.29","0.25","0.25"
"Tuvalu","Use per area of cropland","Pesticides (total)","0.92","0.48","1.21","1.21"
"Türkiye","Use per area of cropland","Pesticides (total)","1.02","1.27","1.58","2.32"
"Uganda","Use per area of cropland","Pesticides (total)","0.08","0.22","0.33","0.81"
"Ukraine","Use per area of cropland","Pesticides (total)","1.8","0.82","1.87","0.73"
"United Kingdom of Great Britain and Northern Ireland","Use per area of cropland","Pesticides (total)","5.26","5.57","2.79","2.48"
"United Republic of Tanzania","Use per area of cropland","Pesticides (total)","0","0","0","0"
"United States of America","Use per area of cropland","Pesticides (total)","2.12","2.41","2.34","2.85"
"Uruguay","Use per area of cropland","Pesticides (total)","1.23","2.58","7.23","7.97"
"Vanuatu","Use per area of cropland","Pesticides (total)","0.64","0.49","0.33","0.11"
"Venezuela (Bolivarian Republic of)","Use per area of cropland","Pesticides (total)","1.17","1.16","1.19","1.19"
"Viet Nam","Use per area of cropland","Pesticides (total)","3.09","2.03","2.39","4.22"
"Wallis and Futuna Islands","Use per area of cropland","Pesticides (total)","1.71","1.43","1.73","1.73"
"Yemen","Use per area of cropland","Pesticides (total)","0.26","0.54","0.44","1.04"
"Zambia","Use per area of cropland","Pesticides (total)","0.39","0.76","1.01","1.09"
"Zimbabwe","Use per area of cropland","Pesticides (total)","0.55","0.8","0.81","0.53"
"","","","","","",""
"","","","","","",""
